0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Genesis,1,8,vocavitque,vocavitque,verb,-,-,singular,active,-,future,-,-,-,-,-,imperfective,-,-,indicative,-,third,finite,-
Genesis,1,8,Deus,Deus,proper_noun,-,-,singular,-,-,-,-,-,masculine,-,nominative,-,-,-,-,-,-,-,-
Genesis,1,8,firmamentum,firmamentum,noun,-,-,singular,-,-,-,-,-,neuter,-,accusative,-,-,-,-,-,-,-,-
Genesis,1,8,caelum,caelum,noun,-,-,singular,-,-,-,-,-,neuter,-,accusative,-,-,-,-,-,-,-,-
Genesis,1,8,et,et,coordinating_conjunction,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Genesis,1,8,factum,facio,verb,-,-,singular,passive,-,past,-,-,neuter,-,nominative,perfective,-,-,-,-,-,participle,positive
Genesis,1,8,est,sum,auxiliary,-,-,singular,active,-,present,-,-,-,-,-,-,-,-,indicative,-,third,finite,-
Genesis,1,8,vespere,vespere,noun,-,-,singular,-,-,-,-,-,neuter,-,nominative,-,-,-,-,-,-,-,-
Genesis,1,8,et,et,coordinating_conjunction,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Genesis,1,8,mane,mane,noun,-,-,singular,-,-,-,-,-,-,-,nominative,-,-,-,-,-,-,-,-
Genesis,1,8,dies,dies,noun,-,-,singular,-,-,-,-,-,masculine,-,nominative,-,-,-,-,-,-,-,-
Genesis,1,8,secundus,secundus,adjective,ordinal,-,singular,-,-,-,-,-,masculine,-,nominative,-,-,-,-,-,-,-,positive
Genesis,1,8,;,;,punctuation,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Genesis,1,9,dixit,dico,verb,-,-,singular,active,-,past,-,-,-,-,-,perfective,-,-,indicative,-,third,finite,-
Genesis,1,9,vero,vero,coordinating_conjunction,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Genesis,1,9,Deus,Deus,proper_noun,-,-,singular,-,-,-,-,-,masculine,-,nominative,-,-,-,-,-,-,-,-
Genesis,1,9,congregentur,congrego,verb,-,-,plural,passive,-,present,-,-,-,-,-,imperfective,-,-,subjunctive,-,third,finite,-
Genesis,1,9,aquae,aqua,noun,-,-,plural,-,-,-,-,-,feminine,-,nominative,-,-,-,-,-,-,-,-
Genesis,1,9,quae,qui,pronoun,-,-,plural,-,relative,-,-,-,feminine,-,nominative,-,-,-,-,-,-,-,-
Genesis,1,9,sub,sub,adposition,-,-,-,-,-,-,-,-,-,-,-,-,-,preposition,-,-,-,-,-
Genesis,1,9,caelo,caelum,noun,-,-,singular,-,-,-,-,-,neuter,-,ablative,-,-,-,-,-,-,-,-
Genesis,1,9,sunt,sum,verb,-,-,plural,active,-,present,-,-,-,-,-,imperfective,-,-,indicative,-,third,finite,-
Genesis,1,9,in,in,adposition,-,-,-,-,-,-,-,-,-,-,-,-,-,preposition,-,-,-,-,-
Genesis,1,9,locum,locus,noun,-,-,singular,-,-,-,-,-,masculine,-,accusative,-,-,-,-,-,-,-,-
Genesis,1,9,unum,unus,numeral,cardinal,-,singular,-,-,-,-,-,masculine,-,accusative,-,-,-,-,-,-,-,-
Genesis,1,9,et,et,coordinating_conjunction,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Genesis,1,9,appareat,appareo,verb,-,-,singular,active,-,present,-,-,-,-,-,imperfective,-,-,subjunctive,-,third,finite,-
Genesis,1,9,arida,aridus,adjective,-,-,singular,-,-,-,-,-,feminine,-,nominative,-,-,-,-,-,-,-,positive
Genesis,1,9,factumque,facto,verb,-,-,singular,passive,-,past,-,-,neuter,-,nominative,perfective,-,-,-,-,-,participle,positive
Genesis,1,9,est,sum,auxiliary,-,-,singular,active,-,present,-,-,-,-,-,-,-,-,indicative,-,third,finite,-
Genesis,1,9,ita,ita,adverb,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Genesis,1,9,;,;,punctuation,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Genesis,1,10,et,et,coordinating_conjunction,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Genesis,1,10,vocavit,vocavit,verb,-,-,singular,active,-,past,-,-,-,-,-,perfective,-,-,indicative,-,third,finite,-
Genesis,1,10,Deus,Deus,proper_noun,-,-,singular,-,-,-,-,-,masculine,-,nominative,-,-,-,-,-,-,-,-
Genesis,1,10,aridam,aridus,adjective,-,-,singular,-,-,-,-,-,feminine,-,accusative,-,-,-,-,-,-,-,positive
Genesis,1,10,terram,terra,noun,-,-,singular,-,-,-,-,-,feminine,-,accusative,-,-,-,-,-,-,-,-
Genesis,1,10,congregationesque,congregatio,noun,-,-,plural,-,-,-,-,-,feminine,-,accusative,-,-,-,-,-,-,-,-
Genesis,1,10,aquarum,aqua,noun,-,-,plural,-,-,-,-,-,feminine,-,genitive,-,-,-,-,-,-,-,-
Genesis,1,10,appellavit,appello,verb,-,-,singular,active,-,past,-,-,-,-,-,perfective,-,-,indicative,-,third,finite,-
Genesis,1,10,maria,maria,proper_noun,-,-,singular,-,-,-,-,-,masculine,-,nominative,-,-,-,-,-,-,-,-
Genesis,1,10,et,et,coordinating_conjunction,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Genesis,1,10,vidit,vidit,verb,-,-,singular,active,-,past,-,-,-,-,-,perfective,-,-,indicative,-,third,finite,-
Genesis,1,10,Deus,Deus,proper_noun,-,-,singular,-,-,-,-,-,masculine,-,nominative,-,-,-,-,-,-,-,-
Genesis,1,10,quod,quod,subordinating_conjunction,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Genesis,1,10,esset,sum,auxiliary,-,-,singular,active,-,past,-,-,-,-,-,imperfective,-,-,subjunctive,-,third,finite,-
Genesis,1,10,bonum,bonum,noun,-,-,singular,-,-,-,-,-,neuter,-,nominative,-,-,-,-,-,-,-,-
Genesis,1,10,;,;,punctuation,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Genesis,1,11,et,et,coordinating_conjunction,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Genesis,1,11,ait,aio,verb,-,-,singular,active,-,present,-,-,-,-,-,imperfective,-,-,indicative,-,third,finite,-
Genesis,1,11,germinet,germino,verb,-,-,singular,active,-,present,-,-,-,-,-,imperfective,-,-,subjunctive,-,third,finite,-
Genesis,1,11,terra,terra,noun,-,-,singular,-,-,-,-,-,feminine,-,nominative,-,-,-,-,-,-,-,-
Genesis,1,11,herbam,herba,noun,-,-,singular,-,-,-,-,-,feminine,-,accusative,-,-,-,-,-,-,-,-
Genesis,1,11,virentem,virentem,verb,-,-,singular,active,-,present,-,-,feminine,-,accusative,imperfective,-,-,-,-,-,participle,positive
Genesis,1,11,et,et,coordinating_conjunction,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Genesis,1,11,facientem,facio,verb,-,-,singular,active,-,present,-,-,feminine,-,accusative,imperfective,-,-,-,-,-,participle,positive
Genesis,1,11,semen,semen,noun,-,-,singular,-,-,-,-,-,neuter,-,accusative,-,-,-,-,-,-,-,-
Genesis,1,11,et,et,coordinating_conjunction,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Genesis,1,11,lignum,lignum,noun,-,-,singular,-,-,-,-,-,neuter,-,accusative,-,-,-,-,-,-,-,-
Genesis,1,11,pomiferum,pomifer,adjective,-,-,singular,-,-,-,-,-,neuter,-,accusative,-,-,-,-,-,-,-,positive
Genesis,1,11,faciens,facio,verb,-,-,singular,active,-,present,-,-,neuter,-,nominative,imperfective,-,-,-,-,-,participle,positive
Genesis,1,11,fructum,fructus,noun,-,-,singular,-,-,-,-,-,masculine,-,accusative,-,-,-,-,-,-,-,-
Genesis,1,11,iuxta,iuxta,adposition,-,-,-,-,-,-,-,-,-,-,-,-,-,preposition,-,-,-,-,-
Genesis,1,11,genus,genus,noun,-,-,singular,-,-,-,-,-,neuter,-,accusative,-,-,-,-,-,-,-,-
Genesis,1,11,suum,suus,determiner,-,-,singular,-,personal,-,pos,-,neuter,-,accusative,-,-,-,-,pos,psor,-,-
Genesis,1,11,cuius,qui,pronoun,-,-,singular,-,relative,-,-,-,neuter,-,genitive,-,-,-,-,-,-,-,-
Genesis,1,11,semen,semen,noun,-,-,singular,-,-,-,-,-,neuter,-,nominative,-,-,-,-,-,-,-,-
Genesis,1,11,in,in,adposition,-,-,-,-,-,-,-,-,-,-,-,-,-,preposition,-,-,-,-,-
Genesis,1,11,semet,se,pronoun,-,-,singular,-,personal,-,pos,-,masculine,-,ablative,-,-,-,-,-,-,-,-
Genesis,1,11,ipso,ipse,pronoun,-,-,singular,-,demonstrative,-,-,-,masculine,-,ablative,-,-,-,-,-,-,-,-
Genesis,1,11,sit,sum,verb,-,-,singular,active,-,present,-,-,-,-,-,imperfective,-,-,subjunctive,-,third,finite,-
Genesis,1,11,super,super,adposition,-,-,-,-,-,-,-,-,-,-,-,-,-,preposition,-,-,-,-,-
Genesis,1,11,terram,terra,noun,-,-,singular,-,-,-,-,-,feminine,-,accusative,-,-,-,-,-,-,-,-
Genesis,1,11,et,et,coordinating_conjunction,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Genesis,1,11,factum,facio,verb,-,-,singular,passive,-,past,-,-,neuter,-,nominative,perfective,-,-,-,-,-,participle,positive
Genesis,1,11,est,sum,auxiliary,-,-,singular,active,-,present,-,-,-,-,-,-,-,-,indicative,-,third,finite,-
Genesis,1,11,ita,ita,adverb,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Genesis,1,11,;,;,punctuation,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Genesis,1,12,et,et,coordinating_conjunction,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Genesis,1,12,protulit,profero,verb,-,-,singular,active,-,past,-,-,-,-,-,perfective,-,-,indicative,-,third,finite,-
Genesis,1,12,terra,terra,noun,-,-,singular,-,-,-,-,-,feminine,-,ablative,-,-,-,-,-,-,-,-
Genesis,1,12,herbam,herba,noun,-,-,singular,-,-,-,-,-,feminine,-,accusative,-,-,-,-,-,-,-,-
Genesis,1,12,virentem,virentem,verb,-,-,singular,active,-,present,-,-,feminine,-,accusative,imperfective,-,-,-,-,-,participle,positive
Genesis,1,12,et,et,coordinating_conjunction,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Genesis,1,12,adferentem,adfero,verb,-,-,singular,active,-,present,-,-,feminine,-,accusative,imperfective,-,-,-,-,-,participle,positive
Genesis,1,12,semen,semen,noun,-,-,singular,-,-,-,-,-,neuter,-,accusative,-,-,-,-,-,-,-,-
Genesis,1,12,iuxta,iuxta,adposition,-,-,-,-,-,-,-,-,-,-,-,-,-,preposition,-,-,-,-,-
Genesis,1,12,genus,genus,noun,-,-,singular,-,-,-,-,-,neuter,-,accusative,-,-,-,-,-,-,-,-
Genesis,1,12,suum,suus,determiner,-,-,singular,-,personal,-,pos,-,neuter,-,accusative,-,-,-,-,pos,psor,-,-
Genesis,1,12,lignumque,lignumque,noun,-,-,singular,-,-,-,-,-,neuter,-,accusative,-,-,-,-,-,-,-,-
Genesis,1,12,faciens,facio,verb,-,-,singular,active,-,present,-,-,neuter,-,nominative,imperfective,-,-,-,-,-,participle,positive
Genesis,1,12,fructum,fructus,noun,-,-,singular,-,-,-,-,-,masculine,-,accusative,-,-,-,-,-,-,-,-
Genesis,1,12,et,et,coordinating_conjunction,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Genesis,1,12,habens,habeo,verb,-,-,singular,active,-,present,-,-,neuter,-,nominative,imperfective,-,-,-,-,-,participle,positive
Genesis,1,12,unumquodque,unusquisque,pronoun,-,-,singular,-,indefinite,-,-,-,neuter,-,accusative,-,-,-,-,-,-,-,-
